Brand,w/c.,value,Volume,Distribution
All others 250/300/330 can 6 pk,18/08/2019,222058,115649,94
All others 250/300/330 can 6 pk,25/08/2019,229285,121741,97
All others 250/300/330 can 6 pk,01/09/2019,243412,122258,95
All others 250/300/330 can 6 pk,08/09/2019,282902,151640,97
All others 250/300/330 can 6 pk,15/09/2019,231609,120114,97
All others 250/300/330 can 6 pk,22/09/2019,170151,88321,92
All others 250/300/330 can 6 pk,29/09/2019,218676,115536,91
All others 250/300/330 can 6 pk,06/10/2019,220483,112412,95
All others 250/300/330 can 6 pk,13/10/2019,239350,123664,97
All others 250/300/330 can 6 pk,20/10/2019,191040,99707,90
All others 250/300/330 can 6 pk,27/10/2019,189648,97416,93
All others 250/300/330 can 6 pk,03/11/2019,210450,110344,96
All others 250/300/330 can 6 pk,10/11/2019,204069,111106,92
All others 250/300/330 can 6 pk,17/11/2019,232064,121115,96
All others 250/300/330 can 6 pk,24/11/2019,188685,102400,93
All others 250/300/330 can 6 pk,01/12/2019,222375,117339,95
All others 250/300/330 can 6 pk,08/12/2019,183343,98140,94
All others 250/300/330 can 6 pk,15/12/2019,266559,163179,94
All others 250/300/330 can 6 pk,22/12/2019,206930,107000,94
All others 250/300/330 can 6 pk,29/12/2019,196420,100025,94
All others 250/300/330 can 6 pk,05/01/2020,184627,92936,94
All others 250/300/330 can 6 pk,12/01/2020,165852,86961,93
All others 250/300/330 can 6 pk,19/01/2020,172469,92122,94
All others 250/300/330 can 6 pk,26/01/2020,220496,114676,93
All others 250/300/330 can 6 pk,02/02/2020,218253,115041,96
All others 250/300/330 can 6 pk,09/02/2020,172081,94692,94
All others 250/300/330 can 6 pk,16/02/2020,205249,110365,95
All others 250/300/330 can 6 pk,23/02/2020,311383,190260,97
AMSTEL 250/300/330 can 6 pk,05/03/2017,53182,23928,94
AMSTEL 250/300/330 can 6 pk,12/03/2017,60717,27294,93
AMSTEL 250/300/330 can 6 pk,19/03/2017,121579,80331,98
AMSTEL 250/300/330 can 6 pk,26/03/2017,56183,25485,95
AMSTEL 250/300/330 can 6 pk,02/04/2017,210544,124643,98
AMSTEL 250/300/330 can 6 pk,09/04/2017,88002,39907,94
AMSTEL 250/300/330 can 6 pk,16/04/2017,75548,33917,94
AMSTEL 250/300/330 can 6 pk,23/04/2017,184204,120495,99
AMSTEL 250/300/330 can 6 pk,30/04/2017,174435,114510,99
AMSTEL 250/300/330 can 6 pk,07/05/2017,79269,36157,95
AMSTEL 250/300/330 can 6 pk,14/05/2017,66640,29956,95
AMSTEL 250/300/330 can 6 pk,21/05/2017,85129,38272,96
AMSTEL 250/300/330 can 6 pk,28/05/2017,138621,62087,94
AMSTEL 250/300/330 can 6 pk,04/06/2017,77844,34941,96
AMSTEL 250/300/330 can 6 pk,11/06/2017,80266,36941,95
AMSTEL 250/300/330 can 6 pk,18/06/2017,88942,41198,95
AMSTEL 250/300/330 can 6 pk,25/06/2017,179055,109453,99
AMSTEL 250/300/330 can 6 pk,02/07/2017,74184,34399,96
AMSTEL 250/300/330 can 6 pk,09/07/2017,92600,42931,94
AMSTEL 250/300/330 can 6 pk,16/07/2017,177757,102091,99
AMSTEL 250/300/330 can 6 pk,23/07/2017,87774,40723,96
AMSTEL 250/300/330 can 6 pk,30/07/2017,210642,128748,99
AMSTEL 250/300/330 can 6 pk,06/08/2017,90718,42406,97
AMSTEL 250/300/330 can 6 pk,13/08/2017,83615,38868,95
AMSTEL 250/300/330 can 6 pk,20/08/2017,60619,28239,96
AMSTEL 250/300/330 can 6 pk,27/08/2017,184822,112852,99
AMSTEL 250/300/330 can 6 pk,03/09/2017,83365,39816,96
AMSTEL 250/300/330 can 6 pk,10/09/2017,77819,36098,93
AMSTEL 250/300/330 can 6 pk,17/09/2017,138462,84689,98
AMSTEL 250/300/330 can 6 pk,24/09/2017,74959,35042,95
AMSTEL 250/300/330 can 6 pk,01/10/2017,72376,33700,94
AMSTEL 250/300/330 can 6 pk,08/10/2017,143202,87556,99
AMSTEL 250/300/330 can 6 pk,15/10/2017,72614,33490,93
AMSTEL 250/300/330 can 6 pk,22/10/2017,140439,85253,99
AMSTEL 250/300/330 can 6 pk,29/10/2017,69789,32504,95
AMSTEL 250/300/330 can 6 pk,05/11/2017,72101,33493,94
AMSTEL 250/300/330 can 6 pk,12/11/2017,142626,87302,99
AMSTEL 250/300/330 can 6 pk,19/11/2017,182436,120618,99
AMSTEL 250/300/330 can 6 pk,26/11/2017,70360,33607,92
AMSTEL 250/300/330 can 6 pk,03/12/2017,57306,26356,95
AMSTEL 250/300/330 can 6 pk,10/12/2017,64585,29760,95
